name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW
Mohamed Salah,MID,Liverpool,7.0,1,0,13,1,25.3,233,128,0,0,10.3,16.8,2021-11-27T15:00:00Z,90,16,0,0,0,0,13,0,6294628,0,4,61.0,6,67466,74054,6588,130,True,0,13
Mohammed Salisu,DEF,Southampton,1.8,0,0,15,0,0.3,351,128,4,0,2.2,21.8,2021-11-27T15:00:00Z,90,11,0,0,0,0,13,0,22621,0,4,0.0,0,-2664,451,3115,45,False,0,13
Moise Kean,FWD,Everton,0.0,0,0,0,0,0.0,564,122,0,0,0.0,0.0,2021-11-28T14:00:00Z,0,3,0,0,0,0,13,0,1154,0,1,0.0,0,-12,0,12,60,False,0,13
Moisés Caicedo,MID,Brighton,0.0,0,0,0,0,0.0,538,123,0,0,0.0,0.0,2021-11-27T17:30:00Z,0,10,0,0,0,0,13,0,454,0,0,0.0,0,-4,0,4,45,True,0,13
Morgan Gibbs-White,MID,Wolves,0.0,0,0,0,0,0.0,440,130,0,0,0.0,0.0,2021-11-27T15:00:00Z,0,15,0,0,0,0,13,0,11686,0,0,0.0,0,-253,0,253,45,False,0,13
Morgan Sanson,MID,Aston Villa,0.0,0,0,0,0,0.0,34,126,0,0,0.0,0.0,2021-11-27T15:00:00Z,0,7,0,0,0,0,13,0,1303,2,1,0.0,0,22,106,84,50,False,0,13
Moussa Djenepo,MID,Southampton,-1.0,0,0,0,0,0.0,350,128,0,0,0.0,0.0,2021-11-27T15:00:00Z,0,11,0,0,0,0,13,0,4691,0,4,0.0,0,-163,100,263,53,False,0,13
Moussa Sissoko,MID,Watford,1.3,0,0,9,0,13.4,354,127,4,0,2.6,4.2,2021-11-28T14:00:00Z,90,9,0,0,0,0,13,0,217080,2,4,8.0,2,-693,7188,7881,45,False,0,13
N'Golo Kanté,MID,Chelsea,0.9,0,0,0,0,0.0,130,125,0,0,0.0,0.0,2021-11-28T16:30:00Z,0,13,0,0,0,0,13,0,237471,1,1,0.0,0,9352,24255,14903,49,True,0,13
Naby Keita,MID,Liverpool,0.3,0,0,0,0,0.0,239,128,0,0,0.0,0.0,2021-11-27T15:00:00Z,0,16,0,0,0,0,13,0,18102,0,4,0.0,0,-1910,205,2115,50,True,0,13
Nampalys Mendy,MID,Leicester,0.0,0,0,0,0,0.0,203,127,0,0,0.0,0.0,2021-11-28T14:00:00Z,0,18,0,0,0,0,13,0,99548,2,4,0.0,0,-4372,187,4559,44,True,0,13
Nathaniel Chalobah,MID,Watford,0.0,0,0,0,0,0.0,385,127,0,0,0.0,0.0,2021-11-28T14:00:00Z,0,9,0,0,0,0,13,0,584,2,4,0.0,0,-7,0,7,50,False,0,13
Nathaniel Clyne,DEF,Crystal Palace,0.0,0,0,0,0,0.0,493,126,0,0,0.0,0.0,2021-11-27T15:00:00Z,0,2,0,0,0,0,13,0,7410,2,1,0.0,0,-129,87,216,43,True,0,13
Nathaniel Phillips,DEF,Liverpool,1.0,0,0,0,0,0.0,241,128,0,0,0.0,0.0,2021-11-27T15:00:00Z,0,16,0,0,0,0,13,0,14099,0,4,0.0,0,-285,131,416,42,True,0,13
Nathan Aké,DEF,Man City,0.7,0,0,0,0,0.0,258,129,0,0,0.0,0.0,2021-11-28T14:00:00Z,0,19,0,0,0,0,13,0,34683,1,2,0.0,0,-947,291,1238,48,True,0,13
Nathan Broadhead,FWD,Everton,0.0,0,0,0,0,0.0,545,122,0,0,0.0,0.0,2021-11-28T14:00:00Z,0,3,0,0,0,0,13,0,1639,0,1,0.0,0,-22,0,22,45,False,0,13
Nathan Ferguson,DEF,Crystal Palace,0.0,0,0,0,0,0.0,161,126,0,0,0.0,0.0,2021-11-27T15:00:00Z,0,2,0,0,0,0,13,0,432,2,1,0.0,0,-2,32,34,45,True,0,13
Nathan Redmond,MID,Southampton,0.0,0,0,3,0,0.8,336,128,1,0,0.6,3.6,2021-11-27T15:00:00Z,45,11,0,0,0,0,13,0,20022,0,4,2.0,1,-4877,622,5499,59,False,0,13
Nathan Tella,MID,Southampton,-0.8,0,0,8,0,24.4,346,128,1,0,4.1,12.2,2021-11-27T15:00:00Z,45,11,0,0,0,0,13,0,4516,0,4,4.0,1,-87,197,284,47,False,0,13
Neal Maupay,FWD,Brighton,0.8,0,0,-7,1,8.9,63,123,0,0,4.9,1.0,2021-11-27T17:30:00Z,67,10,0,0,0,0,13,0,236354,0,0,39.0,2,-34889,7728,42617,64,True,0,13
Neco Williams,DEF,Liverpool,1.0,0,0,0,0,0.0,246,128,0,0,0.0,0.0,2021-11-27T15:00:00Z,0,16,0,0,0,0,13,0,71900,0,4,0.0,0,-4081,772,4853,39,True,0,13
Nemanja Matic,MID,Man Utd,1.5,0,0,16,0,0.6,271,125,1,0,1.3,12.8,2021-11-28T16:30:00Z,90,6,0,0,0,0,13,0,28361,1,1,0.0,2,-112,1297,1409,45,False,0,13
Nicolas Nkoulou,DEF,Watford,0.0,0,0,0,0,0.0,618,127,0,0,0.0,0.0,2021-11-28T14:00:00Z,0,9,0,0,0,0,13,0,726,2,4,0.0,0,34,143,109,45,False,0,13
Nicolas Pépé,MID,Arsenal,1.2,0,0,0,0,0.0,17,121,0,0,0.0,0.0,2021-11-27T12:30:00Z,0,14,0,0,0,0,13,0,74158,0,2,0.0,0,-1716,1607,3323,69,True,0,13
Niels Nkounkou,DEF,Everton,0.0,0,0,0,0,0.0,570,122,0,0,0.0,0.0,2021-11-28T14:00:00Z,0,3,0,0,0,0,13,0,944,0,1,0.0,0,-16,0,16,40,False,0,13
